,store,si-do-gu,address,phone
19,강원 인제군,(상)내린천휴게소점,강원도 인제군 상남면 서울양양고속도로 117  서울방향 내린천휴게소 4층,.
20,대전 서구,대전호수공원점,"대전광역시 서구 도안동로 234-42 1,2층 도안동 2336",070-8862-8826
21,부산 남구,국립부경대청운관점,"부산광역시 남구 용소로 45 (대연동, 국립부경대학교대연캠퍼스) 청운관 1층",051-629-7419
22,강원 홍천군,(상)홍천휴게소R점,강원도 홍천군 화촌면 서울양양고속도로 83 .,.
23,경기 이천시,이천점,"경기도 이천시 어재연로 35, 1~3층 (창전동 160-25)",031-635-6655
24,충남 공주시,(하)정안알밤휴게소점,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) .,
25,충남 공주시,(상)정안알밤휴게소점,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) .,
26,제주 제주시,제주곽지해수욕장점,제주특별자치도 제주시 애월읍 곽지3길 27-1 2~3층,064-799-1137 
27,서울 동작구,신대방삼거리역점,서울특별시 동작구 상도로 60 (대방동) 1층~2층,02-823-2377
28,대전 중구,대전삼부스포렉스점,"대전광역시 중구 태평로 83, 삼부스포렉스 1층 (태평동 408-11) .",042-301-9960
29,전북 익산시,익산부송점,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩 1층) .",063-832-1717
30,경남 창원시 진해구,진해속천점,경상남도 창원시 진해구 태평로 132 (속천동) 2~3층,070-7786-1019
31,서울 영등포구,여의도포스트타워점,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층 ,02-2135-5321
32,서울 영등포구,대림역점,서울특별시 영등포구 도림로 140 대림빌딩 101호,02-834-1000
33,충남 보령시,대천비치점,충청남도 보령시 해수욕장4길 12 (신흑동) .,070-4146-0406
34,부산 동래구,부산동래온천점,부산광역시 동래구 금강로 116 (온천동) 금강메디컬타워 1층,051-923-5538
35,서울 서대문구,충정로역점,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,02-363-0807
36,부산 사하구,부산고신대의과대학점,부산광역시 서구 감천로 262 고신의대 강의동 1층,051-710-7565
37,대구 수성구,대구수성못DI점,대구광역시 수성구 용학로 62 1~2층,053-761-7186
38,경남 진주시,경상국립대학생회관점,경상남도 진주시 진주대로 501 경상국립대 학생회관 1층,055-772-0931
39,서울 양천구,서서울공원점,서울특별시 양천구 남부순환로58길 37 신월동 205-36,070-4277-6756
40,세종 세종시,AK&세종점,세종특별자치시 한누리대로 411 KT&G 세종타워A,044-960-5377
41,경기 고양시 일산동구,일산장항점,"경기도 고양시 일산동구 중앙로1275번길 56 (장항동, 루비튜스데이) 1~2층",031-903-9991
42,전북 전주시 덕진구,전북대 후생관점,전북특별자치도 전주시 덕진구 백제대로 567 후생관 1층,.
43,전북 전주시 덕진구,전북대 진수당점,전북 전주시 덕진구 백제대로 567 (전북대 진수당 연구동 1층) .,.
44,전북 전주시 덕진구,전북대 중도라운지점,전북 전주시 덕진구 백제대로 567 중앙도서관 1층,.
45,서울 동대문구,경희대 청운관점,서울 동대문구 경희대로 26 청운관 지하1층,.
46,서울 강북구,덕성여대점,서울시 강북구 삼양로 547 1~3층,02-6093-0011
47,전북 전주시 덕진구,전주백제대로점,전라북도 전주시 덕진구 백제대로 592 1층,063-271-5056
48,서울 영등포구,당산1가점,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",02-2679-7942
49,경북 예천군,경북도청점,경북 예천군 호명면 산합리 1427 1~2층,054-654-0048
50,부산 사상구,부산백양대로DI점,부산광역시 사상구 백양대로 621 (괘법동) 2~4층,051-324-7779
51,경기 성남시 분당구,분당미금점,"경기도 성남시 분당구 미금일로90번길 24, B1F ~ 1F 구미동 35-3 ",010-6857-5532
52,부산 기장군,부산일광신도시점,부산광역시 기장군 일광읍 해빛6로 43-20 .,070-4790-2715
53,서울 중구,메리츠봉래타워점,서울시 중구 칠패로 28 메리츠강북타워 1층,02-753-8835
54,경기 고양시 덕양구,고양시청DI점,경기도 고양시 덕양구 호국로 730 2F,031-812-0105
55,강원 원주시,(춘)치악휴게소점,강원도 원주시 신림면 다리실2길 32 .,유선없음
56,인천 남동구,간석오거리점,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,032-425-0915
57,대구 수성구,대구범어천로점,"대구광역시 수성구 범어천로 200 (범어월드메르디앙웨스턴카운티) 102호, 201호",053-759-5779
58,서울 강동구,고덕비즈밸리점,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,070-7782-0055
59,경남 창원시 의창구,창원팔용점,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) .,055-298-3434
60,서울 강남구,파르나스몰점,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",02-3453-1024
61,서울 노원구,석계역점,서울시 노원구 화랑로 325 1층,02-942-1345
62,강원 동해시,동해묵호점,강원특별자치도 동해시 해안로 368 1~3층,033-534-8902
63,충남 홍성군,충남도청점,충청남도 홍성군 홍북읍 청사로174번길 25 (성원타워) 신경리 553,041-631-4725
64,세종 세종시,세종국책연구단지점,"세종특별자치시 시청대로 370 (반곡동, 나라키움세종국책연구단지) .",044-865-4684
65,부산 사하구,동아대 인문대점,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) S01 인문대 카페",051-200-6165
66,경남 진주시,경상대 느티마루점,"경상남도 진주시 진주대로 501 (가좌동, 경상국립대학교가좌캠퍼스) .",.
67,대구 북구,경북대 크누라운지점,"대구광역시 북구 대학로 80 (산격동, 경북대학교) .",.
68,서울 성북구,국민대 성곡도서관점,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",02-910-4954
69,광주 북구,atti-C 2023점,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교) .",062-530-0040
70,서울 동대문구,경희대 경영대점,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,.
71,광주 서구,광주상무점,"광주광역시 서구 상무연하로 16 (치평동, 스마일빌딩) 1층 109호",062-371-7778
72,충북 청주시 청원구,청주내수DI점,충청북도 청주시 청원구 내수읍 충청대로 410-19 1F-2F 구성리 251-53,043-241-0517
73,서울 중구,명동역점,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩) .",02-752-5925
74,인천 부평구,인천굴포천역점,"인천광역시 부평구 충선로209번길 49 (삼산동, 삼산노블시티프라자) 삼산동 463-2, 103,104,105호",070-4400-4664
75,대구 서구,대구팔달교DT점,대구광역시 서구 팔달로 34 1~2층,0507-1323-9597
76,인천 중구,인천공항교통센터점,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 지하1층(실번호 2-32-07)",032-743-3718
77,부산 중구,한국선원센터점,"부산광역시 중구 충장대로9번길 66 (중앙동4가, 한국선원센터) (중앙동4가 74-7)1층",070-4070-7506
78,제주 제주시,제주애월천덕로점,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 1층 납읍리 2513-1,064-799-6667
79,경기 화성시,화성만세DT점,경기도 화성시 향남읍 서해로 191 1층,070-5159-5942
80,대구 달서구,대구장기점,대구광역시 달서구 장기로 268 1~2층,053-522-0666
81,부산 연제구,부산연산점,부산광역시 연제구 반송로 89 (연산동) 1층,051-989-3296
82,경기 안양시 동안구,평촌점,경기도 안양시 동안구 관평로170번길 43 (훼미리타운) 1층,031-385-3400
83,인천 남동구,남동케이원점,"인천광역시 남동구 비류대로 622 (남촌동) 남동산단케이원 1층 105,106,108호 (남촌동)",032-821-9110
84,충북 청주시 흥덕구,오송역사점,충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 2층 맞이방) 봉산리 370-31,.
85,경북 구미시,구미CGV점,"경상북도 구미시 구미중앙로 44 (멀티복합상가) 원평동68-1, 1층",054-604-0375
86,울산 북구,울산정자해변점,울산광역시 북구 동해안로 1544 (정자동) A동 1층~2층,052-281-0620
87,부산 부산진구,부산서면일번가점,부산광역시 부산진구 서면로68번길 52 (부전동) 1층,051-819-1449
88,강원 강릉시,강릉안목해변점,"강원특별자치도 강릉시 창해로14번길 34-1 (견소동) 견소동283-6,견소동132",070-7575-0184
89,경북 경주시,경주용강DT점,"경상북도 경주시 산업로 4510 (용강동, 용강주유소) .",070-7575-0185
90,전북 군산시,군산수송점,"전라북도 군산시 수송북로 22. 수송동 831-1,1층",063-467-9500
91,광주 북구,광주운암점,광주광역시 북구 북문대로 184 (운암동) .,062-531-7711
92,경기 이천시,이천축산농협점,경기도 이천시 구만리로 107 (진리동) 진리동 371-2,031-635-6694
93,경기 구리시,구리돌다리점,경기도 구리시 경춘로227번길 14 (인창동) 1층,031-564-4565
94,서울 성동구,소월아트홀점,서울특별시 성동구 왕십리로 275-1 (행당동 133-2) .,02-2294-7002
95,서울 송파구,송파거여역점,"서울특별시 송파구 오금로 513 (위례빌딩,1층)  거여동 37",02-449-6232
96,경북 경주시,경주주상절리점,경상북도 경주시 양남면 동해안로 486 .,054-743-3780
97,충남 홍성군,(하)홍성휴게소점,충청남도 홍성군 은하면 금국리 275-2 .,041-642-1172
98,충남 홍성군,(상)홍성휴게소점,충청남도 홍성군 은하면 서해안고속도로 220 .,041-642-1172
99,울산 울주군,울산KTX점,울산광역시 울주군 삼남읍 도호1길 38 1층,052-937-8887
100,경기 성남시 분당구,분당파크타운점,"경기도 성남시 분당구 내정로 170 (수내동, 동신파크빌딩) .",031-713-8570
101,경기 하남시,하남덕풍점,경기도 하남시 덕풍북로 2 .,070-4791-4731
102,대전 중구,대전오류점,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 .",042-522-3141
103,충남 계룡시,계룡대점,충청남도 계룡시 신도안면 신도안1길 43 (계룡스포츠센터) 계룡스포츠센터 1층,042-551-5508
104,대전 서구,대전타임월드점,대전광역시 서구 둔산로 32-13(둔산동) .,042-489-1315
105,경북 구미시,구미오태DT점,경상북도 구미시 금오대로 320 .,054-461-0348
106,경기 고양시 덕양구,화정DI점,경기도 고양시 덕양구 화신로 254 (화정동) .,031-971-4097
107,부산 중구,부산광복점,부산광역시 중구 광복로 70 (광복동2가) .,051-253-8033
108,경기 과천시,과천정보타운점,"경기도 과천시 과천대로7가길 20 (갈현동,프리즘스퀘어1 1층 101호) 갈현동 산32 ",02-6958-6720
109,경기 양평군,양평북한강DI점,경기도 양평군 양서면 양수로118번길 29 할리스,031-8079-7090
110,전북 완주군,완주삼봉점,전라북도 완주군 삼례읍 신기길 5-3 수계리 1212-4,063-261-2003
111,서울 송파구,잠실새내역점,"서울특별시 송파구 올림픽로12길 8 (잠실동, 제일빌딩) .",02-416-2085
112,경기 화성시,화성남양점,경기 화성시 역골중앙로 115 1층 남양읍 남양리 2279-2,031-8067-7760
113,경기 여주시,여주교동DI점,경기도 여주시 향교로 17 (창동) 1층~2층 /창동 183-4,031-882-8121
114,서울 중랑구,중랑역점,서울특별시 중랑구 망우로 210 (상봉동) .,02.6085.7858
115,경기 성남시 분당구,분당서울대병원점,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원) 본관 1동",031-8039-6020
116,서울 광진구,강변역점,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",070-7802-0303
117,대구 수성구,대구중동점,대구 수성구 중동 322-14 .,053-767-4326
118,경기 오산시,오산궐동점,경기 오산시 궐리사로 34 1층 (백충빌딩 1층) 궐동 670-1,031-374-7999
119,경기 오산시,오산역점,"경기도 오산시 오산로 195 (오산동, 명신예식홀) 오산동 882-1",031-8042-7719
120,서울 용산구,용산아이파크몰점,"서울특별시 용산구 한강대로23길 55, 서관 4층 (한강로3가, 용산역) .",02-2012-0473
121,서울 강서구,등촌역점,서울특별시 강서구 등촌로 229 1~2층,02-2655-2290
122,부산 사상구,부산서부터미널점,"부산광역시 사상구 사상로 201 (괘법동, 서부시외버스터미널) .",051-323-0305
123,강원 춘천시,춘천강원대점,강원특별자치도 춘천시 서부대성로 229 (효자동) .,033-253-0425
124,인천 연수구,송도대홍프라자점,인천광역시 연수구 해돋이로152번길 9 /송도동 21-57,032-710-3810
125,전남 순천시,순천조례점,전라남도 순천시 충효로 109 (디지털프라자전자랜드) /조례동 1264,061-902-7288
126,충남 논산시,논산내동점,"충청남도 논산시 대학로65번길 6-5 101,102,201호 /내동 1189",041-733-4855
127,서울 구로구,오류동점,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차) .",02-2625-4854
128,경기 부천시 원미구,부천역점,"경기도 부천시 부일로 448 (심곡동, 프리존빌딩) 110호, 204호",032-665-8255
129,경기 화성시,화성병점점,경기도 화성시 병점동로 105,031-233-4686
130,전북 군산시,군산은파유원지DI점,전라북도 군산시 백토로 284-35 나운동 191-70,063-467-1199
131,서울 송파구,잠실학원사거리점,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩) 삼전동 1-1외 3필지",02-3431-4662
132,경북 구미시,구미시청점,경상북도 구미시 송정대로 54 (송정동) .,054-452-8297
133,경기 화성시,화성향남DT점,"경기도 화성시 향남읍 향남로 306 방축리294,295-2번지",070-7575-0745
134,서울 강서구,발산역점,서울특별시 강서구 강서로 357 (내발산동) .,02-2663-4976
135,서울 양천구,목동파리공원점,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙) .",02-2645-8497
136,인천 부평구,인천한길안과병원점,"인천광역시 부평구 부평대로 37 (부평동 543-35, 정명빌딩한길안과병원) .",032-503-3379
137,서울 은평구,북한산DI점,"서울특별시 은평구 북한산로 248-8 (진관동, 자돈) .",02-3157-4843
138,울산 중구,울산성남점,"울산광역시 중구 만남의거리 33, 1F 성남동 256-16",052-211-4741
139,경북 구미시,구미상모사곡점,경상북도 구미시 박정희로 259 (사곡동) .,054-457-7772
140,서울 구로구,신도림테크노마트점,서울특별시 구로구 새말로 97 (신도림테크노마트) 104~106호,02-2111-1300
141,제주 제주시,제주황사평DT점,제주특별자치도 제주시 연북로 756 1~2층,064-722-2529
142,서울 중구,KG타워점,"서울특별시 중구 통일로 92 (순화동, 케이지타워) 1층",02-777-5559
143,서울 송파구,올림픽공원역점,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원) (A-3동 C구역 )",02-420-9997
144,울산 북구,울산매곡점,울산광역시 북구 신기17길 3 (매곡동) 1-2층,052-292-5522
145,서울 마포구,신촌역점,"서울특별시 마포구 신촌로 88 (노고산동, 태영빌딩) 2층",02-325-7588
146,울산 중구,울산국가정원점,울산광역시 중구 태화강국가정원길 201 (태화동) .,052-245-8497
147,서울 노원구,노원역점,"서울특별시 노원구 노해로 488 (상계동, 근호빌딩) 1층",02-933-8824
148,경기 남양주시,다산제이원점,경기도 남양주시 다산중앙로82번안길 28 (다산동) 124~126호,031.558.8885
149,경기 고양시 일산동구,BMC점,경기도 고양시 일산동구 동국로 32 산학협력관 1층,031-961-5692
150,전북 전주시 덕진구,전북대덕진광장점,전라북도 전주시 덕진구 덕진광장로12 1~2층,063-272-2400
151,서울 금천구,가산대륭22차점,"서울특별시 금천구 가산디지털1로 146 109,110,111호",02-2059-1131
152,경남 진주시,진주초전점,경상남도 진주시 초북로20번길 5 1층 /초전동 1710-7,070-7801-1029
153,강원 원주시,연세대학교원주장례식장점,강원도 원주시 일산로 20 장례식장 1층,033-735-3335
154,강원 원주시,원주세브란스기독병원점,강원도 원주시 일산로 20 원주세브란스기독병원 외래센터 1층,033-735-3339
155,충남 공주시,(논)탄천휴게소2호점,충청남도 공주시 탄천면 논산천안고속도로 27 (탄천하행휴게소) .,.
156,경기 의정부시,의정부역점,"경기도 의정부시 신흥로232번길 5-31,(의정부동, 아이비타워) 1층",031-876-7006
157,제주 제주시,이도점,제주특별자치도 제주시 중앙로 302 (더스프링) 이도이동 1025-9,070-7694-2323
158,서울 마포구,연트럴파크점,서울특별시 마포구 동교로 233 (연남동) .,02-335-7805
159,서울 강남구,강남우리라운지점,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 L층,02-566-1002
160,경기 수원시 영통구,수원영통점,경기도 수원시 영통구 청명남로 10 /영통동 1000-1,031-202-3356
161,서울 용산구,이태원역점,서울특별시 용산구 이태원로 180 2층~3층,02-749-8752
162,서울 양천구,오목교역점,"서울특별시 양천구 오목로 344 (목동, 청학빌딩) 1층",02-2062-8405
163,대구 서구,메가박스프리미엄만경관점,대구 중구 국채보상로 547 MMC 만경관 4층 .,070-7717-2192
164,전남 순천시,순천신대점,전라남도 순천시 해룡면 향매로 67 신대리 1978,061-723-5185
165,서울 금천구,시흥사거리점,서울특별시 금천구 시흥대로 225 1층 시흥동 994-9,02-804-9226
166,전북 전주시 완산구,전주효천점,"전라북도 전주시 완산구 쑥고개로 351, 1층 101호~102호 /효자동2가 1326-4",063-224-5777
167,제주 제주시,제주도두해안DT점,제주특별자치도 제주시 도두일동 1686 .,064-745-7301
168,경기 고양시 덕양구,고양향동점,"경기도 고양시 덕양구 향기3로 9, 101호 향동동 536",02-3158-0031
169,광주 북구,광주북구청점,광주광역시 북구 서방로 2 .,062-511-8002
170,부산 부산진구,부산시민공원점,"부산 부산진구 시민공원로 73, 푸드코트피크닉 /범전동 200",.
171,서울 강남구,강남역2점,"서울특별시 강남구 강남대로 422 (역삼동) 역삼동816,816-7,816-8",02-568-9056
172,서울 용산구,숙대입구점,서울특별시 용산구 청파로 276 2층~3층,02-704-9636
173,경남 김해시,김해복음병원점,경상남도 김해시 활천로 42 (삼정동) .,055-723-2053
174,서울 서대문구,홍제천점,"서울특별시 서대문구 홍제내길 52,1~2층 (홍제동 361-49) .",02-396-0903
175,경기 고양시 일산동구,롯데시네마라페스타점,"경기도 고양시 일산동구 무궁화로 32-34 (장항동, 라페스타C) 3층",070-7733-0384
176,대전 유성구,충남대점,대전광역시 유성구 대학로 84 (482-6) .,070-7543-1009
177,서울 종로구,종각역점,서울특별시 종로구 종로 60-1 종로2가 102-3,02-736-3399
178,부산 사하구,부산아트몰링영풍문고점,부산광역시 사하구 낙동남로 1413 아트몰링 13층,051-999-7122
179,경기 광명시,광명GIDC점,"경기도 광명시 일직로 43, 지하2층 G249, G250호 /일직동 514 ",02-6914-6550
180,경기 시흥시,시흥능곡점,"경기도 시흥시 능곡번영길 25, 아리테브릿지 107,108,205,206호 (능곡동 211-3)",070-8806-1314
181,경기 평택시,평택칠괴점,"경기도 평택시 칠괴길 84,1층 (101호, 104호) 칠괴동 492 ",031-665-1770
182,경기 평택시,송탄서정점,"경기도 평택시 경기대로 1371,102호 서정동 814-1",031-611-0234
183,서울 동작구,X-260211장승배기역점,"서울특별시 동작구 장승배기로11가길 11, 1층 105호 (상도파크자이)",02-812-9330
184,경남 김해시,김해인제대점,경상남도 김해시 인제로 168 (어방동) 정석빌딩101호,055-314-8589
185,전남 순천시,순천성가롤로병원점,"전남 순천시 순광로 221, 순천성가롤로병원 별관 2층 조례동 1742",061-905-0013
186,부산 부산진구,부산동의대점,부산광역시 부산진구 엄광로 176 (가야동 464-108) .,051-893-6679
187,울산 남구,울산삼산로점,"울산광역시 남구 삼산로 283 (삼산동, 소망빌딩) 삼산동1525-8,1525-9",052-275-9004
188,충남 공주시,동학사점,"충남 공주시 반포면 동학사2로 133 1,2층 .",070-8836-8038
189,경기 부천시 원미구,부천순천향병원점,경기도 부천시 조마루로 170(중동) 본관 지하 1층 .,.
190,전북 전주시 완산구,전주시네마점,전라북도 전주시 완산구 전주객사3길 67 (전주시네마타운) 1~2층,063-232-9448
191,충남 천안시 동남구,천안신부점,"충청남도 천안시 동남구 만남로 26 (신부동, 대영빌딩) 454-5번지, 4~5층",041-566-5085
192,경기 평택시,삼성전자평택캠퍼스점,경기도 평택시 삼성로 144 반도체공장 복지관 1층(고덕면 여염리 1648) .,031-8094-9981
193,충남 아산시,천안아산역사점,충청남도 아산시 배방읍 희망로 100 (천안아산역) 3층 맞이방,0507-1413-5088
194,부산 서구,부산서구청점,"부산광역시 서구 보수대로 9 1층 104호 (바른빌딩,충무동1가 3-1)",070-4647-1455
195,울산 울주군,울산율리점,울산광역시 울주군 청량읍 율리영해1길 46 1층,052-221-1030
196,전북 부안군,(하)부안고려청자휴게소점,전라북도 부안군 주산면 서해안고속도로 103 (하)부안고려청자휴게소 목포방향,.
197,전북 부안군,(상)부안고려청자휴게소점,전라북도 부안군 주산면 서해안고속도로 106 (주산면) (상)부안고려청자휴게소점 서울방향,.
198,경기 화성시,(하)화성휴게소점,경기 화성시 팔탄면 서해안고속도로 301-1 화성휴게소 (하행),유선전화없음
199,경기 화성시,(상)화성휴게소점,경기도 화성시 팔탄면 서해안고속도로 302 화성휴게소(상행),유선전화없음
200,서울 동작구,중앙대점,서울특별시 동작구 흑석로 77 1~4층 .,02-3280-3280
201,경기 고양시 덕양구,고양신원점,"경기도 고양시 덕양구 권율대로 896-19 101,201호 (신원동 636-3)",02-381-7666
202,경기 부천시 원미구,부천심곡점,경기도 부천시 장말로 376  심곡동 355-1,.
203,제주 제주시,제주연북로DI점,제주특별자치도 제주시  오남로 166 (오라이동 1550-11),070-4123-5111
204,전북 군산시,군산선유도점,전라북도 군산시 옥도면 선유북길 125-1 선유도리 213-3,063-464-9314
205,서울 종로구,독립문역점,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬) 상가동 1층,117호  .",010-2594-7308
206,전북 익산시,익산모현점,전라북도 익산시 선화로3길 16-10 1층,063-842-8420
207,서울 종로구,성균관대점,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,02-743-8526
208,대전 서구,대전건양대병원점,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) 신관 B1 .",042-543-3138
209,대전 유성구,대전유성온천점,대전 유성구 온천로 45  1층,042-825-2023
210,경기 시흥시,스틸랜드점,"경기도 시흥시 오이도로 21 (정왕동, STEELLAND) 1층",070-8802-8041
211,경남 거제시,거제휴게소점,경상남도 거제시 장목면 거가대로 1068 .,055-736-2200
212,부산 강서구,가덕휴게소점,부산광역시 강서구 거가대로 2571 (천성동) .,051-715-2200
213,서울 노원구,태릉입구역점,서울특별시 노원구 화랑로 453 (그린힐) 1층,02-976-0078
214,경남 창원시 마산합포구,마산저도점,경상남도 창원시 마산합포구 구산면 해양관광로 1872-50 2~3층,055-243-1052
215,충북 옥천군,충북옥천점,충청북도 옥천군 옥천읍 송신길 172 /서대리 13-2,043-731-5560
216,경기 화성시,화성조암점,"경기도 화성시 우정읍 쌍봉로 76 1층, 103호",031-358-3567
217,서울 구로구,구로디지털점,"서울특별시 구로구 디지털로31길 12  1층 105,106호 (구로동 197-21)",070-7576-4842
218,경기 안성시,(상)안성맞춤휴게소점,경기도 안성시 서운면 평택제천고속도로 41 (안성맞춤휴게소평택방향) .,031-673-3822
219,전남 나주시,나주빛가람혁신도시점,전라남도 나주시 배멧3길 5-4 .,061-334-5466
220,서울 종로구,청계천점,"서울특별시 종로구  청계천로 81 1,2,3,4층",02-735-5462
221,인천 연수구,인천대입구역점,"인천광역시 연수구 인천타워대로132번길 34 (송도동) 104호,105호",032-833-2808
222,경기 남양주시,남양주진접점,"경기도 남양주시 진접읍 해밀예당1로 8-12, 가동 1~2층 /연평리 110-1",031-523-3237
223,서울 강남구,청담삼성로점,서울특별시 강남구 삼성로119길 8 (강남대청담카이로스빌딩) 1층,02-541-7755
224,경기 김포시,김포운양점,"경기도 김포시 김포한강11로255번길 15 (운양동, 김포한강이랜드타운힐스) .",031-986-2260
225,울산 남구,울산교보문고점,울산광역시 남구 화합로 185 업스퀘어 B1 교보문고내,052-990-5550
226,서울 강동구,고덕그라시움후문점,서울특별시 강동구 동남로82길 77-1 2층~4층 /고덕동 258-4,02-2088-0831
227,세종 세종시,세종가람DT점,세종특별자치시 금송로 589 (가람동) .,044-865-8882
228,대구 동구,대구봉무공원점,대구광역시 동구 단산길 4 (봉무동) 1~2층,053-984-3001
229,충북 청주시 서원구,청주산남DT점,"충청북도 청주시 서원구 1순환로 892,1,2층(산남동)",043-287-5731
230,경북 성주군,성주성밖숲점,경상북도 성주군 성주읍 성밖숲길 7 .,054-933-2222
231,강원 속초시,속초영랑해변DI점,강원도 속초시 영랑해안길 205 (영랑동 148-172) 할리스,033-637-0164
232,울산 남구,울산달동DT점,울산광역시 남구 번영로 82 (달동 1297-1) 할리스,052-275-3022
233,인천 서구,인천당하점,"인천광역시 서구 서곶로 788 (홀리랜드,1층) 당하동 1098-5",032-561-1578
234,서울 관악구,신림역점,서울특별시 관악구 신림로 313 (신림동) 2-3층,02-877-5596
235,인천 서구,인천서구청점,"인천광역시 서구 서곶로301번길 7-1 (세광빌딩) /심곡동 247-1,1층",032-569-1235
236,부산 수영구,부산광안리점,"부산광역시 수영구 광안해변로 175 (광안동 200-6, 광안에이파크오션) 1~2층",051-757-9433
237,서울 동작구,대방역점,"서울특별시 동작구 알마타길 6 (대방동, 파밀리에 하늘마루) 101호, 102호 .",02-825-6369
238,경기 남양주시,다산진건점,경기도 남양주시 다산중앙로20번길 10-44 1층  .,070-7808-1221
239,서울 강남구,강남대로논현점,"서울특별시 강남구 강남대로 520 (논현동 164번지, 영동빌딩) .",02-6012-2372
240,대전 유성구,대전호텔ICC점,대전광역시 유성구 엑스포로123번길 55 (도룡동) 1층,042-866-5104
241,서울 마포구,홍대거리점,"서울특별시 마포구 어울마당로 76-1, 2~4층 (서교동 364-19) 할리스",02-323-3795
242,부산 해운대구,부산센텀시티점,"부산광역시 해운대구 센텀2로 24 (우동, 센텀다이아몬드) 1층, 102호",051-755-9100
